contestId,index,name,tags,rating,solvedCount
2062,F,Traveling Salescat,"['constructive algorithms', 'dp', 'geometry', 'graphs', 'greedy', 'math', 'sortings']",2900,502
2062,E2,The Game (Hard Version),"['data structures', 'dfs and similar', 'games', 'graphs', 'implementation', 'trees']",3000,363
2062,E1,The Game (Easy Version),"['data structures', 'dfs and similar', 'games', 'graphs', 'greedy', 'trees']",2000,3815
2062,D,Balanced Tree,"['dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",2200,3116
2062,C,Cirno and Operations,"['brute force', 'math']",1200,16641
2062,B,Clockwork,"['greedy', 'math']",900,21403
2062,A,String,"['constructive algorithms', 'greedy', 'math', 'strings']",800,26250
2061,I,Kevin and Nivek,"['divide and conquer', 'dp']",3500,63
2061,H2,Kevin and Stones (Hard Version),"['flows', 'graphs']",3500,35
2061,H1,Kevin and Stones (Easy Version),"['flows', 'graph matchings', 'graphs']",3500,62
2061,G,Kevin and Teams,"['constructive algorithms', 'graphs', 'interactive']",2900,417
2061,F2,Kevin and Binary String (Hard Version),"['data structures', 'dp']",3500,113
2061,F1,Kevin and Binary String (Easy Version),"['greedy', 'implementation']",2100,1964
2061,E,Kevin and And,"['bitmasks', 'brute force', 'dp', 'greedy', 'math', 'sortings']",2000,3369
2061,D,Kevin and Numbers,"['bitmasks', 'data structures']",1600,9221
2061,C,Kevin and Puzzle,"['2-sat', 'combinatorics', 'dp']",1600,8448
2061,B,Kevin and Geometry,"['binary search', 'geometry']",1100,13369
2061,A,Kevin and Arithmetic,['math'],800,20700
2060,G,Bugged Sort,"['dp', 'greedy', 'sortings']",2400,1048
2060,F,Multiplicative Arrays,"['combinatorics', 'dp', 'number theory']",2200,2182
2060,E,Graph Composition,"['dfs and similar', 'dsu', 'graphs', 'greedy']",1500,10065
2060,D,Subtract Min Sort,['greedy'],1100,23750
